ts,rpm,speed,throttle_pos,load,temp,manifold_pressure,intake_air_temp,maf
1558525532302,868,0.0,16.862745098,42.7450980392,49,261.996690568,18,0.02380968
1558525533693,859,0.0,16.862745098,44.3137254902,49,261.996690568,18,0.02380968
1558525535055,860,0.0,16.862745098,42.3529411765,49,261.996690568,18,0.02380968
1558525536410,863,0.0,16.862745098,40.7843137255,49,255.102040816,18,0.02380968
1558525537768,872,0.0,16.862745098,40.3921568627,49,261.996690568,18,0.02380968
1558525539126,863,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525540504,870,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525541906,874,0.0,16.862745098,41.9607843137,50,261.996690568,18,0.02380968
1558525543329,860,0.0,16.862745098,40.3921568627,49,255.102040816,18,0.02380968
1558525544719,869,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525546080,852,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525547451,854,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525548825,856,0.0,16.862745098,40.3921568627,49,261.996690568,18,0.02380968
1558525550185,874,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525551558,867,0.0,16.862745098,40.3921568627,49,261.996690568,18,0.02380968
1558525552916,858,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525554276,864,0.0,16.862745098,40.3921568627,49,261.996690568,18,0.02380968
1558525555650,864,0.0,16.862745098,40.3921568627,49,261.996690568,18,0.02380968
1558525557013,881,0.0,16.862745098,40.3921568627,49,255.102040816,18,0.02380968
1558525558382,839,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525559740,877,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525561115,859,0.0,16.862745098,40.3921568627,49,261.996690568,18,0.02380968
1558525562493,855,0.0,16.862745098,41.9607843137,49,261.996690568,18,0.02380968
1558525563863,873,0.0,16.862745098,40.3921568627,49,261.996690568,18,0.02380968
1558525565254,870,0.0,16.862745098,40.3921568627,49,261.996690568,18,0.02380968
1558525566646,879,0.0,16.862745098,40.3921568627,49,261.996690568,18,0.02380968
1558525568040,878,0.0,16.862745098,41.9607843137,50,261.996690568,18,0.02380968
1558525569410,842,0.0,16.862745098,43.5294117647,50,261.996690568,18,0.02380968
1558525570784,860,0.0,16.862745098,41.9607843137,50,261.996690568,18,0.02380968
1558525572157,848,0.0,16.862745098,43.5294117647,50,261.996690568,18,0.02380968
1558525573534,850,0.0,16.862745098,41.9607843137,50,261.996690568,18,0.02380968
1558525574921,864,0.0,16.862745098,41.9607843137,50,255.102040816,18,0.02380968
1558525576280,859,0.0,16.862745098,43.5294117647,50,261.996690568,18,0.02380968
